iter	RMSE
0	25.73332649
1	24.45388712
2	23.27446279
3	22.26820623
4	21.1792825
5	20.3448355
6	19.4216306
7	18.68071137
8	17.96348766
9	17.239892
10	16.56318234
11	16.01232674
12	15.42562248
13	14.9531307
14	14.54147413
15	14.12851163
16	13.67292581
17	13.28016622
18	12.92094655
19	12.59655189
20	12.26087163
21	11.98688469
22	11.69640844
23	11.39525867
24	11.1304973
25	10.92942211
26	10.72043583
27	10.50579701
28	10.2980435
29	10.02468919
30	9.891893705
31	9.711067029
32	9.56270446
33	9.437806498
34	9.3195683
35	9.149778433
36	9.046523469
37	8.915308509
38	8.804236695
39	8.684899589
40	8.569721013
41	8.483291839
42	8.403746666
43	8.309563673
44	8.215756902
45	8.086815315
46	8.004205388
47	7.923101942
48	7.856496316
49	7.770034027
50	7.682298543
51	7.617903837
52	7.557660108
53	7.483326324
54	7.447106919
55	7.392818964
56	7.347014354
57	7.284904532
58	7.246184314
59	7.19494795
60	7.161750991
61	7.119127315
62	7.093286332
63	7.047821742
64	6.995606663
65	6.967904689
66	6.911997067
67	6.875232526
68	6.833187683
69	6.811511035
70	6.770941121
71	6.734653348
72	6.684628487
73	6.65968851
74	6.634404402
75	6.588611992
76	6.558775733
77	6.536297136
78	6.518707005
79	6.471961345
80	6.442685622
81	6.410836591
82	6.372951023
83	6.352652098
84	6.333982523
85	6.292369324
86	6.274577468
87	6.258825175
88	6.224878226
89	6.192705985
90	6.168756475
91	6.153406803
92	6.137444528
93	6.105074523
94	6.077648494
95	6.040699816
96	6.015313646
97	5.996939902
98	5.984702398
99	5.964730182
100	5.936841994
101	5.912454766
102	5.895599584
103	5.879903182
104	5.875929292
105	5.863257263
106	5.842431015
107	5.825830012
108	5.79272448
109	5.752115831
110	5.738726728
111	5.720356332
112	5.706153388
113	5.697974253
114	5.681298478
115	5.657410793
116	5.631924163
117	5.623986081
118	5.595378939
119	5.588033937
120	5.581924173
121	5.57535458
122	5.571617491
123	5.558959493
124	5.536359885
125	5.530435517
126	5.492221549
127	5.474290947
128	5.462036105
129	5.445445316
130	5.436933741
131	5.424630938
132	5.419329275
133	5.402666048
134	5.359323615
135	5.31211461
136	5.289282718
137	5.263775386
138	5.258943976
139	5.221320334
140	5.205976092
141	5.173010594
142	5.148502401
143	5.122286863
144	5.116341289
145	5.091824677
146	5.07402575
147	5.068525582
148	5.061366358
149	5.043790844
150	5.018747202
151	5.008430335
152	5.003870919
153	4.99463806
154	4.978086094
155	4.969078621
156	4.955182524
157	4.937370519
158	4.922456456
159	4.908238951
160	4.884861479
161	4.870818918
162	4.863659279
163	4.859088559
164	4.840492787
165	4.823443393
166	4.812001218
167	4.802396205
168	4.794091814
169	4.781657167
170	4.76881694
171	4.748737428
172	4.738526363
173	4.720911907
174	4.704167277
175	4.689550684
176	4.684853777
177	4.676075465
178	4.655127575
179	4.631734226
180	4.615819687
181	4.596015318
182	4.579962579
183	4.559093476
184	4.551657348
185	4.544910278
186	4.536041044
187	4.520835827
188	4.509803987
189	4.502389699
190	4.491041404
191	4.460776934
192	4.441425933
193	4.439928185
194	4.433233799
195	4.416625589
196	4.413843902
197	4.393366249
198	4.388978687
199	4.378474069
200	4.375303218
201	4.369619097
202	4.361606186
203	4.35491453
204	4.344604065
205	4.340175935
206	4.32538482
207	4.315422058
208	4.29290967
209	4.284039358
210	4.272497156
211	4.256946395
212	4.244370303
213	4.223505982
214	4.212210319
215	4.192472006
216	4.177536314
217	4.171201199
218	4.159974451
219	4.139578418
220	4.127766345
221	4.120606037
222	4.107982804
223	4.099181446
224	4.088520425
225	4.077527091
226	4.072045496
227	4.0650363
228	4.056503305
229	4.047339329
230	4.039784417
231	4.03769819
232	4.014544475
233	3.995475275
234	3.980385196
235	3.960603775
236	3.952804327
237	3.939093818
238	3.930434558
239	3.91401397
240	3.904964039
241	3.895459893
242	3.889350569
243	3.883695416
244	3.868035848
245	3.864155853
246	3.862414137
247	3.855481592
248	3.841085207
249	3.840078719
250	3.830106489
251	3.824802258
252	3.81490982
253	3.809575518
254	3.803853855
255	3.787868724
256	3.781337204
257	3.772463092
258	3.764867312
259	3.754925555
260	3.741782922
261	3.726692653
262	3.718918322
263	3.707547379
264	3.698144742
265	3.687050105
266	3.674694991
267	3.658138234
268	3.649447791
269	3.640826686
270	3.632348189
271	3.616940035
272	3.608710407
273	3.604122079
274	3.592818592
275	3.585251967
276	3.582091068
277	3.576283875
278	3.569922005
279	3.563685735
280	3.559579698
281	3.554292531
282	3.547050321
283	3.542429163
284	3.53544225
285	3.521031265
286	3.514260736
287	3.512562704
288	3.506477312
289	3.49957799
290	3.491890514
