iter	Passed	Remaining
0	4	4495
1	8	4218
2	12	4211
3	16	4200
4	20	4036
5	24	4072
6	29	4201
7	33	4144
8	37	4131
9	41	4110
10	45	4105
11	49	4077
12	53	4094
13	57	4061
14	61	4041
15	65	4021
16	69	4009
17	73	3982
18	76	3962
19	80	3949
20	84	3948
21	88	3950
22	92	3932
23	96	3930
24	101	3939
25	104	3925
26	109	3936
27	113	3929
28	116	3916
29	120	3908
30	125	3909
31	128	3897
32	133	3900
33	136	3882
34	140	3877
35	145	3895
36	149	3894
37	153	3886
38	157	3889
39	161	3887
40	166	3884
41	169	3877
42	174	3881
43	178	3880
44	182	3868
45	186	3861
46	190	3861
47	194	3863
48	199	3880
49	206	3921
50	212	3959
51	219	3995
52	223	3986
53	228	3996
54	231	3979
55	235	3975
56	240	3976
57	244	3963
58	247	3953
59	251	3947
60	256	3940
61	260	3941
62	264	3930
63	268	3926
64	272	3923
65	276	3908
66	279	3898
67	284	3899
68	288	3892
69	292	3884
70	296	3876
71	300	3875
72	304	3867
73	308	3859
74	312	3848
75	316	3844
76	320	3836
77	323	3828
78	327	3817
79	331	3814
80	335	3807
81	339	3803
82	344	3801
83	348	3795
84	351	3788
85	356	3786
86	359	3776
87	363	3767
88	367	3763
89	371	3760
90	375	3755
91	379	3750
92	383	3741
93	387	3737
94	391	3733
95	398	3749
96	404	3762
97	410	3780
98	415	3777
99	419	3775
100	423	3772
101	427	3764
102	431	3758
103	435	3748
104	438	3739
105	442	3732
106	446	3726
107	450	3721
108	454	3717
109	458	3713
110	462	3706
111	467	3703
112	471	3698
113	475	3692
114	479	3686
115	483	3681
116	487	3679
117	491	3670
118	495	3668
119	499	3659
120	502	3651
121	506	3646
122	509	3635
123	513	3630
124	518	3627
125	522	3622
126	525	3612
127	529	3607
128	533	3599
129	537	3596
130	541	3591
131	545	3584
132	548	3576
133	553	3575
134	557	3570
135	561	3564
136	565	3560
137	569	3556
138	572	3549
139	576	3543
140	581	3541
141	586	3540
142	592	3552
143	598	3559
144	604	3562
145	609	3565
146	614	3563
147	617	3556
148	622	3552
149	626	3549
150	630	3546
151	634	3539
152	638	3532
153	642	3527
154	646	3524
155	650	3520
156	654	3515
157	659	3511
158	663	3507
159	667	3502
160	671	3498
161	675	3491
162	679	3487
163	682	3479
164	687	3476
165	691	3474
166	695	3469
167	699	3466
168	703	3459
169	707	3455
170	712	3452
171	715	3446
172	719	3441
173	724	3438
174	728	3435
175	732	3429
176	736	3425
177	741	3422
178	745	3418
179	749	3414
180	753	3411
181	758	3408
182	762	3404
183	766	3400
184	770	3395
185	774	3390
186	779	3387
187	785	3393
188	791	3397
189	799	3406
190	803	3403
191	808	3400
192	811	3394
193	815	3386
194	819	3382
195	823	3378
196	827	3371
197	831	3368
198	835	3364
199	840	3360
200	844	3358
201	848	3352
202	852	3348
203	857	3344
204	861	3339
205	865	3335
206	869	3331
207	874	3328
208	878	3323
209	882	3320
210	886	3316
211	891	3313
212	895	3309
213	900	3305
214	904	3301
215	908	3296
216	912	3293
217	916	3287
218	920	3283
219	924	3279
220	928	3274
221	932	3268
222	937	3265
223	941	3260
224	945	3256
225	949	3251
226	953	3246
227	957	3242
228	961	3238
229	966	3235
230	970	3231
231	977	3234
232	983	3237
233	990	3240
234	995	3240
235	999	3236
236	1004	3232
237	1008	3229
238	1012	3225
239	1017	3221
240	1021	3216
241	1025	3212
242	1029	3206
243	1034	3203
244	1038	3200
245	1042	3195
246	1046	3190
247	1050	3186
248	1054	3180
249	1057	3173
250	1062	3169
251	1066	3164
252	1070	3161
253	1075	3157
254	1079	3153
255	1083	3150
256	1088	3146
257	1092	3142
258	1096	3138
259	1101	3133
260	1105	3130
261	1109	3125
262	1113	3120
263	1117	3115
264	1121	3111
265	1125	3106
266	1129	3102
267	1134	3098
268	1138	3094
269	1142	3090
270	1147	3085
271	1150	3079
272	1154	3075
273	1159	3071
274	1163	3066
275	1167	3062
276	1172	3060
277	1178	3061
278	1184	3061
279	1190	3061
280	1194	3056
281	1198	3052
282	1203	3049
283	1207	3045
284	1211	3040
285	1216	3036
286	1220	3031
287	1224	3026
288	1228	3021
289	1232	3017
290	1236	3013
291	1241	3010
292	1245	3006
293	1249	3001
294	1253	2996
295	1257	2990
296	1261	2986
297	1265	2981
298	1269	2977
299	1274	2972
300	1277	2967
301	1282	2963
302	1286	2959
303	1290	2955
304	1294	2950
305	1298	2945
306	1303	2941
307	1307	2937
308	1311	2932
309	1315	2927
310	1319	2922
311	1323	2918
312	1327	2913
313	1331	2908
314	1335	2903
315	1339	2899
316	1343	2893
317	1347	2889
318	1351	2885
319	1355	2881
320	1360	2876
321	1364	2873
322	1371	2874
323	1377	2874
324	1384	2876
325	1389	2873
326	1394	2869
327	1398	2866
328	1403	2862
329	1408	2859
330	1412	2854
331	1416	2849
332	1420	2845
333	1425	2841
334	1429	2836
335	1433	2832
336	1437	2828
337	1441	2823
338	1446	2819
339	1450	2815
340	1454	2810
341	1458	2806
342	1462	2801
343	1466	2797
344	1471	2793
345	1475	2789
346	1479	2784
347	1484	2780
348	1488	2775
349	1492	2771
350	1496	2767
351	1500	2762
352	1504	2757
353	1508	2752
354	1512	2748
355	1516	2743
356	1520	2738
357	1524	2734
358	1529	2730
359	1533	2725
360	1536	2720
361	1540	2715
362	1545	2711
363	1549	2707
364	1553	2702
365	1557	2697
366	1563	2696
367	1569	2696
368	1576	2695
369	1581	2693
370	1586	2689
371	1590	2685
372	1594	2680
373	1599	2676
374	1603	2672
375	1607	2668
376	1612	2663
377	1616	2659
378	1620	2654
379	1624	2650
380	1628	2646
381	1633	2641
382	1637	2637
383	1641	2633
384	1645	2628
385	1649	2624
386	1654	2620
387	1658	2615
388	1662	2611
389	1666	2606
390	1670	2602
391	1674	2597
392	1678	2593
393	1683	2588
394	1687	2584
395	1691	2580
396	1695	2575
397	1699	2570
398	1703	2565
399	1707	2561
400	1711	2556
401	1715	2552
402	1720	2548
403	1724	2543
404	1728	2539
405	1732	2534
406	1736	2530
407	1740	2525
408	1744	2521
409	1749	2517
410	1753	2512
411	1758	2510
412	1764	2508
413	1770	2506
414	1777	2504
415	1781	2501
416	1786	2497
417	1790	2492
418	1794	2488
419	1799	2484
420	1803	2480
421	1807	2476
422	1812	2472
423	1816	2467
424	1820	2463
425	1824	2458
426	1828	2453
427	1832	2449
428	1836	2444
429	1840	2439
430	1845	2435
431	1849	2431
432	1853	2426
433	1856	2421
434	1861	2417
435	1865	2412
436	1869	2408
437	1873	2404
438	1877	2398
439	1881	2394
440	1885	2390
441	1889	2385
442	1893	2381
443	1897	2376
444	1902	2372
445	1906	2367
446	1910	2363
447	1914	2359
448	1918	2354
449	1922	2349
450	1926	2345
451	1930	2340
452	1934	2336
453	1939	2332
454	1943	2327
455	1947	2323
456	1951	2319
457	1957	2316
458	1964	2315
459	1970	2312
460	1974	2308
461	1978	2304
462	1982	2299
463	1987	2295
464	1991	2291
465	1995	2286
466	2000	2282
467	2004	2278
468	2008	2274
469	2012	2269
470	2016	2265
471	2021	2261
472	2025	2256
473	2029	2252
474	2033	2247
475	2038	2243
476	2042	2239
477	2046	2234
478	2050	2229
479	2054	2225
480	2058	2221
481	2062	2216
482	2066	2212
483	2071	2208
484	2075	2203
485	2079	2199
486	2083	2195
487	2088	2190
488	2092	2186
489	2096	2181
490	2100	2177
491	2104	2173
492	2108	2168
493	2112	2164
494	2116	2159
495	2121	2155
496	2125	2150
497	2129	2146
498	2133	2142
499	2137	2137
500	2142	2133
501	2148	2131
502	2154	2128
503	2161	2126
504	2166	2123
505	2170	2119
506	2175	2115
507	2179	2111
508	2183	2106
509	2187	2102
510	2192	2097
511	2196	2093
512	2201	2089
513	2205	2084
514	2209	2080
515	2213	2075
516	2217	2071
517	2221	2067
518	2225	2062
519	2230	2058
520	2234	2054
521	2238	2050
522	2242	2045
523	2247	2041
524	2251	2036
525	2255	2032
526	2259	2028
527	2263	2023
528	2267	2019
529	2271	2014
530	2276	2010
531	2280	2006
532	2284	2001
533	2288	1997
534	2292	1992
535	2297	1988
536	2301	1984
537	2305	1979
538	2309	1975
539	2313	1970
540	2317	1966
541	2321	1962
542	2326	1957
543	2330	1953
544	2334	1949
545	2338	1944
546	2344	1941
547	2350	1939
548	2357	1936
549	2364	1934
550	2369	1930
551	2373	1926
552	2377	1921
553	2381	1917
554	2385	1912
555	2390	1908
556	2394	1904
557	2398	1900
558	2402	1895
559	2407	1891
560	2411	1886
561	2415	1882
562	2419	1878
563	2423	1873
564	2427	1869
565	2432	1865
566	2435	1860
567	2439	1855
568	2443	1851
569	2447	1846
570	2451	1842
571	2456	1837
572	2460	1833
573	2464	1828
574	2468	1824
575	2472	1820
576	2477	1816
577	2481	1811
578	2485	1807
579	2489	1802
580	2494	1798
581	2497	1793
582	2501	1789
583	2505	1785
584	2509	1780
585	2514	1776
586	2518	1771
587	2522	1767
588	2526	1762
589	2530	1758
590	2534	1754
591	2538	1749
592	2542	1745
593	2547	1741
594	2554	1738
595	2560	1735
596	2566	1732
597	2571	1728
598	2574	1723
599	2579	1719
600	2583	1715
601	2587	1710
602	2591	1706
603	2595	1701
604	2600	1697
605	2604	1693
606	2608	1688
607	2612	1684
608	2616	1680
609	2620	1675
610	2625	1671
611	2629	1667
612	2633	1662
613	2637	1658
614	2642	1653
615	2645	1649
616	2649	1644
617	2654	1640
618	2657	1636
619	2662	1631
620	2666	1627
621	2670	1622
622	2674	1618
623	2678	1613
624	2682	1609
625	2686	1604
626	2690	1600
627	2694	1596
628	2698	1591
629	2703	1587
630	2707	1583
631	2711	1578
632	2715	1574
633	2719	1570
634	2723	1565
635	2728	1561
636	2732	1556
637	2736	1552
638	2740	1548
639	2746	1545
640	2753	1541
641	2759	1538
642	2764	1534
643	2768	1530
644	2773	1526
645	2777	1521
646	2781	1517
647	2785	1513
648	2789	1508
649	2793	1504
650	2797	1499
651	2801	1495
652	2806	1491
653	2810	1486
654	2814	1482
655	2818	1477
656	2822	1473
657	2827	1469
658	2831	1465
659	2835	1460
660	2839	1456
661	2843	1451
662	2847	1447
663	2852	1443
664	2856	1438
665	2860	1434
666	2864	1430
667	2868	1425
668	2872	1421
669	2877	1417
670	2880	1412
671	2884	1408
672	2889	1403
673	2893	1399
674	2897	1394
675	2901	1390
676	2905	1386
677	2910	1382
678	2914	1377
679	2918	1373
680	2922	1369
681	2926	1364
682	2931	1360
683	2936	1356
684	2942	1352
685	2948	1349
686	2954	1346
687	2957	1341
688	2962	1337
689	2966	1332
690	2971	1328
691	2974	1324
692	2978	1319
693	2983	1315
694	2987	1311
695	2992	1306
696	2996	1302
697	3000	1298
698	3004	1293
699	3008	1289
700	3012	1284
701	3015	1280
702	3020	1275
703	3024	1271
704	3028	1267
705	3032	1262
706	3036	1258
707	3040	1254
708	3044	1249
709	3048	1245
710	3052	1240
711	3057	1236
712	3061	1232
713	3065	1227
714	3069	1223
715	3073	1219
716	3078	1214
717	3082	1210
718	3086	1206
719	3090	1201
720	3094	1197
721	3098	1193
722	3102	1188
723	3107	1184
724	3111	1180
725	3115	1175
726	3119	1171
727	3123	1167
728	3127	1162
729	3133	1158
730	3140	1155
731	3145	1151
732	3151	1147
733	3155	1143
734	3160	1139
735	3165	1135
736	3170	1131
737	3174	1126
738	3178	1122
739	3182	1118
740	3186	1113
741	3190	1109
742	3195	1105
743	3199	1100
744	3203	1096
745	3208	1092
746	3212	1087
747	3216	1083
748	3220	1079
749	3224	1074
750	3228	1070
751	3232	1066
752	3236	1061
753	3240	1057
754	3245	1053
755	3249	1048
756	3253	1044
757	3257	1039
758	3261	1035
759	3265	1031
760	3269	1026
761	3273	1022
762	3277	1018
763	3281	1013
764	3286	1009
765	3290	1005
766	3294	1000
767	3298	996
768	3303	992
769	3307	987
770	3311	983
771	3315	979
772	3319	974
773	3324	970
774	3329	966
775	3335	962
776	3342	959
777	3348	955
778	3353	951
779	3357	946
780	3361	942
781	3366	938
782	3370	934
